absorbant	m	s	1
absorbants	m	p	1
absorbation	f	s	0
absorbations	f	p	0
absorbeur	m	s	0
absorbeurs	m	p	0
absorption	f	s	0
absorptions	f	p	0
absorptivité	f	s	0
absorptivités	f	p	0
absoute	f	s	1
absoutes	f	p	1
abstention	f	s	0
abstentionnisme	m	s	0
abstentionnismes	m	p	0
abstentions	f	p	0
abstersion	f	s	0
abstersions	f	p	0
abstinence	f	s	0
abstinences	f	p	0
abstinent	m	s	1
abstinente	f	s	1
abstinentes	f	p	1
abstinents	m	p	1
abstraction	f	s	0
abstractionnisme	m	s	0
abstractionnismes	m	p	0
abstractions	f	p	0
abstrait	m	s	1
abstraits	m	p	1
absurde	m	s	1
absurdes	m	p	1
absurdité	f	s	0
absurdités	f	p	0
abusement	m	s	0
abusements	m	p	0
abuseur	m	s	0
abuseurs	m	p	0
abuseuse	f	s	0
abuseuses	f	p	0
abyme	m	s	0
abymes	m	p	0
abysse	m	s	0
abysses	m	p	0
abyssin	m	s	1
abyssine	f	s	1
abyssines	f	p	1
abyssinien	m	s	1
abyssinienne	f	s	1
abyssiniennes	f	p	1
abyssiniens	m	p	1
abyssins	m	p	1
abâtardissement	m	s	0
abâtardissements	m	p	0
abèchement	m	s	0
abèchements	m	p	0
abéchement	m	s	0
abéchements	m	p	0
abécédaire	m	s	1
abécédaires	m	p	1
abée	f	s	0
abées	f	p	0
abêtissement	m	s	0
abêtissements	m	p	0
abîme	m	s	0
abîmement	m	s	0
abîmements	m	p	0
abîmes	m	p	0
acabit	m	s	0
acabits	m	p	0
acacia	m	s	0
acacias	m	p	0
académicien	m	s	0
académicienne	f	s	0
académiciennes	f	p	0
académiciens	m	p	0
académie	f	s	0
académies	f	p	0
académisme	m	s	0
académismes	m	p	0
acajou	m	s	1
acajous	m	p	0
acalèphe	m	s	0
acalèphes	m	p	0
acanthacée	f	s	0
acanthacées	f	p	0
acanthe	f	s	0
acanthes	f	p	0
acanthocéphale	m	s	0
acanthocéphales	m	p	0
acanthoptérygien	m	s	0
acanthoptérygienne	f	s	0
acanthoptérygiennes	f	p	0
acanthoptérygiens	m	p	0
acarien	m	s	0
acariens	m	p	0
acariâtreté	f	s	0
acariâtretés	f	p	0
accablement	m	s	0
accablements	m	p	0
accalmie	f	s	0
accalmies	f	p	0
accaparation	f	s	0
accaparations	f	p	0
accaparement	m	s	0
accaparements	m	p	0
accapareur	m	s	1
accapareurs	m	p	1
accapareuse	f	s	1
accapareuses	f	p	1
accensement	m	s	0
accensements	m	p	0
accensinement	m	s	0
accensinements	m	p	0
accent	m	s	0
accents	m	p	0
accentuation	f	s	0
accentuations	f	p	0
acceptabilité	f	s	0
acceptabilités	f	p	0
acceptant	m	s	1
acceptante	f	s	1
acceptantes	f	p	1
acceptants	m	p	1
acceptation	f	s	0
acceptations	f	p	0
accepteur	m	s	1
accepteurs	m	p	1
acception	f	s	0
acceptions	f	p	0
accessibilité	f	s	0
accessibilités	f	p	0
accession	f	s	0
accessions	f	p	0
accessit	m	s	0
accessits	m	p	0
accessoire	m	s	1
accessoires	m	p	1
accessoirisation	f	s	0
accessoirisations	f	p	0
accident	m	s	0
accidentologie	f	s	0
accidentologies	f	p	0
accidents	m	p	0
accise	f	s	0
accises	f	p	0
acclamation	f	s	0
acclamations	f	p	0
acclimatation	f	s	0
acclimatations	f	p	0
acclimatement	m	s	0
acclimatements	m	p	0
acclimation	f	s	0
acclimations	f	p	0
accointance	f	s	0
accointances	f	p	0
accointement	m	s	0
accointements	m	p	0
accoisement	m	s	0
accoisements	m	p	0
accolade	f	s	0
accolades	f	p	0
accolage	m	s	0
accolages	m	p	0
accolement	m	s	0
accolements	m	p	0
accolerie	f	s	0
accoleries	f	p	0
